"count";"username";"datetime";"text"
"1";"sh_yn6180";"17:37:15 21-01-2021";"ازتون خواهش میکنم 🌺"
"2";"amirsalari5325";"17:37:54 21-01-2021";"⚘⚘🌸🌸💦💯💯💯☘☘⚘⚘"
"3";"najiabd1397";"17:37:56 21-01-2021";"👏👏👏👏"
"4";"roham.samiy";"17:40:28 21-01-2021";"😍"
"5";"mohammadtehrani123";"17:44:43 21-01-2021";"🙏🙏🙏🙏"
"6";"moein_ashrafalsadat";"17:45:20 21-01-2021";"💐💐💐🌹💐💐💐"
"7";"aram16babakhani";"17:45:22 21-01-2021";"محیطی زیبا جدید و عالی👍👍👍👍👍"
"8";"dr.latif.emami";"17:46:58 21-01-2021";"@asalemamii_"
"9";"mojtaba121312";"17:47:44 21-01-2021";"حتی با تور مجازی بسیار زیبا بروز و لاکچری بود واقعا از محیط و امکانات لذت بردم، 😍😍"
"10";"aram16babakhani";"17:57:52 21-01-2021";"👍👍👍👍👍👍👍"
"11";"mr_heyrati";"18:01:28 21-01-2021";"عالی😍😍😍😍"
"12";"yoosef8997";"18:01:52 21-01-2021";"سلام و صد سلام من از جناب ریس بانک مرکزی خواهش می کنم ایشان ی سری به بانک ها بیاندازید تا ببینید مردم برا یک سوال ساده دور خودشون باید بچرخند تا شاید یکی با اخم جواب بده البته ببخشید من خودم میگم امروز تو جامعه کنونی میخوای سلام بدی باید با احتیاط سلام کنی چرا که ممکن به طرف بر بخورد متشکرم"
"13";"maryam.manochehri_";"18:05:51 21-01-2021";"#ملی - پلاس"
"14";"maryam.manochehri_";"18:06:14 21-01-2021";"ملی _پلاس#"
"15";"emamia6711";"18:09:00 21-01-2021";"❤️👏👏👏👏👏👏👏👏"
"16";"jalilian1307";"18:09:02 21-01-2021";"ملی پلاس یه شعبه فوق العاده است👏👌👏"
"17";"solmaz.poorfahim";"18:10:20 21-01-2021";"تور مجازی بسیار زیبا و عالی و لاکچری بود واقعا از محیطش و امکاناتش لذت بردم 🌹🌹🌹"
"18";"solmaz.poorfahim";"18:10:32 21-01-2021";"@ali.porfahim.137"
"19";"hamed_zavvar7";"18:11:15 21-01-2021";"سلام .لطفا راهنمایی بفرمایید مشکلی که برای همراه بانکم پیش اومده بدون رفتن به بانک ملی چطور میتونم رفع کنم .ممنون🌹🙏"
"20";"solmaz.poorfahim";"18:11:48 21-01-2021";"@nhyd6131"
"21";"emamia6711";"18:11:51 21-01-2021";"زيبا"
"22";"solmaz.poorfahim";"18:11:53 21-01-2021";"@nahid._baeuty_salon"
"23";"emamia6711";"18:12:50 21-01-2021";"🌹🌹🌹🌹🍎🌹🍎🌹🍎"
"24";"emamia6711";"18:12:59 21-01-2021";"🌹❤️🌹❤️🌹"
"25";"sarnevesht3555";"18:13:15 21-01-2021";"سلام کسی منو راهنمایی کنه ادمین پاسخگو نیست میخوام همراه بانک ملی نصب کنم ولی نمیشه از بانک هم فعال کردم شماره تلفن همراه رو وقتی وارد همش میگه خطا از سرور و کد امنیتی میخواد که اصلا نمیده اونجا"
"26";"hadibahrami8877";"18:14:22 21-01-2021";"اعتماد ما بانک ملی پلاس❤️"
"27";"emamia6711";"18:14:39 21-01-2021";"# ملی - پلاس"
"28";"ansar_mirzaei.64";"18:15:58 21-01-2021";"#ملی_پلاس"
"29";"fasle_no99";"18:16:19 21-01-2021";"چقدر عالی👍👍💐💐💐💐"
"30";"zohreyazdi000";"18:17:29 21-01-2021";"نام بانک ملی ایران می درخشد"
"31";"emamia6711";"18:23:47 21-01-2021";"محیطی بی نظیر و عالی"
"32";"emamia6711";"18:23:59 21-01-2021";"محیطی بی نظیر و عالی"
"33";"e_eb_2546";"18:25:31 21-01-2021";"محیطی عالی و زیبا"
"34";"e_eb_2546";"18:27:14 21-01-2021";"امکانات زیبا ومحیطی جذاب"
"35";"e_eb_2546";"18:27:32 21-01-2021";"👏👏👏👏👏👏👏👏👏👏👏👏👏👏"
"36";"e_eb_2546";"18:28:34 21-01-2021";"جذاب و عالی"
"37";"hamnafas.804";"18:28:46 21-01-2021";"#ملی پلاس ی شعبه فوق العاده وبینظیره"
"38";"e_eb_2546";"18:28:49 21-01-2021";"امکاناتش عالیه👏👏👏👏👏👏👏👏"
"39";"mra1986eco";"18:29:33 21-01-2021";"تنها حس خدمت تو همچین شعبه رو خیلی زود دارم"
"40";"hamnafas.804";"18:30:16 21-01-2021";"#ملی پلاس فوقالعاده وبینظیره"
"41";"tarkesigareasan";"18:30:40 21-01-2021";"🚭🙏"
"42";"sajad_ghasemi90";"18:32:08 21-01-2021";"#ملی پلاس"
"43";"sajad_ghasemi90";"18:32:42 21-01-2021";"#ملی_پلاس"
"44";"sajad_ghasemi90";"18:33:01 21-01-2021";"😍😍😍😍"
"45";"sajad_ghasemi90";"18:33:38 21-01-2021";"#ملی_پلاس💛👑💛"
"46";"hamnafas.804";"18:36:18 21-01-2021";"@ni.loofar1705"
"47";"hamnafas.804";"18:36:25 21-01-2021";"@niloofar1671"
"48";"amirmahdi90.0";"18:41:33 21-01-2021";"بانک ملی ایران بهترین بانک و پیشرودرخدمات 🙏"
"49";"sharyar.1362";"18:43:57 21-01-2021";"#ملی پلاس#"
"50";"sharyar.1362";"18:44:18 21-01-2021";"@samerassss1365"
"51";"sharyar.1362";"18:44:26 21-01-2021";"@shahryar.kamrabi"
"52";"hamnafas.804";"18:47:06 21-01-2021";"@narin_shno"
"53";"hamnafas.804";"18:47:11 21-01-2021";"@nahal.s.z"
"54";"hamnafas.804";"18:47:24 21-01-2021";"@nahal_m1360"
"55";"hamnafas.804";"18:47:33 21-01-2021";"@nimamoamer"
"56";"hamnafas.804";"18:47:58 21-01-2021";"@_na3717"
"57";"hamnafas.804";"18:48:11 21-01-2021";"@lili.__.gh._._"
"58";"hamnafas.804";"18:48:15 21-01-2021";"@leili6647"
"59";"hamnafas.804";"18:48:18 21-01-2021";"@leila.bagheri41"
"60";"hamnafas.804";"18:48:28 21-01-2021";"@ladan_bahador"
"61";"hamnafas.804";"18:48:33 21-01-2021";"@lnlys99"
"62";"hamnafas.804";"18:48:44 21-01-2021";"@rfn.8791"
"63";"hamnafas.804";"18:48:51 21-01-2021";"@razie.soltane"
"64";"hamnafas.804";"18:49:01 21-01-2021";"@ramin.bahador.2018"
"65";"hamnafas.804";"18:49:08 21-01-2021";"@rozrok_bhd"
"66";"firstlove1400";"18:53:07 21-01-2021";"کتابخانه، #ملی_پلاس نماد هزاره ی جدید"
"67";"marziehallami9595";"18:55:19 21-01-2021";"بانک فقط بانک ملی"
"68";"navi.dghosi66";"18:57:50 21-01-2021";"😍😍😍👏👏"
"69";"mrysh1978";"19:02:46 21-01-2021";"🌹🌹ملی پلاس🌹🌹"
"70";"shah_roodi";"19:03:24 21-01-2021";"واقعا ملی پلاس آینده بانکداری ایرانه 👏👏👏"
"71";"nahal_m1360";"19:11:59 21-01-2021";"#ملی_پلاس"
"72";"nahal_m1360";"19:12:43 21-01-2021";"ملی پلاس عالیه"
"73";"nahal_m1360";"19:12:51 21-01-2021";"ملی پلاس حرف نداره"
"74";"nahal_m1360";"19:13:21 21-01-2021";"@unicorn1399unicorn #ملی_پلاس"
"75";"nahal_m1360";"19:13:32 21-01-2021";"@mandi.m137 #ملی_پلاس"
"76";"milad_e86";"19:13:41 21-01-2021";"قسمت کتابخونش عالیه👌👌👌 @me_teh_"
"77";"nahal_m1360";"19:13:49 21-01-2021";"@nazanin.58000 #ملی_پلاس"
"78";"nahal_m1360";"19:14:02 21-01-2021";"@maneli2699 #ملی_پلاس"
"79";"maskan_ak";"19:14:06 21-01-2021";"عالی ❤️❤️❤️❤️"
"80";"nahal_m1360";"19:14:20 21-01-2021";"@celeen9393 #ملی_پلاس"
"81";"nahal_m1360";"19:14:34 21-01-2021";"@atena.711 #ملی_پلاس"
"82";"nahal_m1360";"19:15:04 21-01-2021";"@fatimaaaa.m23 #ملی_پلاس"
"83";"nahal_m1360";"19:15:19 21-01-2021";"@atefehzarei_1999 #ملی_پلاس"
"84";"nahal_m1360";"19:15:30 21-01-2021";"@mohseni.fariba58 #ملی_پلاس"
"85";"nahal_m1360";"19:15:47 21-01-2021";"@shima.rouhi8076 #ملی_پلاس"
"86";"nahal_m1360";"19:16:11 21-01-2021";"😍😍😍😍😍😍#ملی_پلاس"
"87";"e_eb_2546";"19:23:30 21-01-2021";"محیطی جذاب و سیما"
"88";"smrnouri";"19:27:01 21-01-2021";"مگه ده روز پیش پست مسابقه ملی پلاس رو نذاشتین؟"
"89";"irqmly";"19:28:13 21-01-2021";"#ملی_پلاس فوق العاده است"
"90";"khaz1232";"19:28:26 21-01-2021";"#ملی- پلاس عالی و زیبا"
"91";"khaz1232";"19:30:00 21-01-2021";"#ملی-پلاس @emamia2764"
"92";"khaz1232";"19:30:24 21-01-2021";"#ملی-پلاس زیبا و عالی"
"93";"khaz1232";"19:30:57 21-01-2021";"#ملی-پلاس"
"94";"khaz1232";"19:31:35 21-01-2021";"ملی پلاس عالیه و بی نظیر"
"95";"emamia0841";"19:48:22 21-01-2021";"#ملی-پلاس خیلی عالی"
"96";"emamia0841";"19:48:47 21-01-2021";"محیطی عالی و بی نظیر"
"97";"emamia0841";"19:48:53 21-01-2021";"👏👏👏👏👏👏👏👏👏👏🔥🔥"
"98";"emamia0841";"19:50:29 21-01-2021";"#ملی-پلاس 👍👌👌👌👍👍👍💙💙💙"
"99";"mjafari1145";"19:51:23 21-01-2021";"#ملی_پلاس"
"100";"aks_tiike";"19:54:19 21-01-2021";"چرا همراه بانک کار نمیکنه"
"101";"mehrdad__ash";"19:56:17 21-01-2021";"😉👍😉👍😉👍🌹🌹😉👍😉👍😉👍🌹🌹"
"102";"mohamadjavadebrs";"20:00:13 21-01-2021";"سلام."
"103";"emamia0841";"20:00:28 21-01-2021";"#ملی-پلاس very very good"
"104";"emamia4877";"20:02:29 21-01-2021";"#ملی-پلاس خیلی خوب و عالی"
"105";"emamia4877";"20:03:02 21-01-2021";"#ملی-پلاس عالی و بی نظیر"
"106";"pourya88m";"20:03:11 21-01-2021";"قسمت کتابخونه خیلی عالیه 👌👏😍❤️"
"107";"pourya88m";"20:03:25 21-01-2021";"@capitan.kocholo"
"108";"emamia4877";"20:03:33 21-01-2021";"#ملی-پلاس @emamia329"
"109";"emamia4877";"20:03:47 21-01-2021";"#ملی-پلاس @emamia2546"
"110";"emamia4877";"20:04:03 21-01-2021";"#ملی-پلاس @emamia6711"
"111";"emamia4877";"20:04:27 21-01-2021";"#ملی-پلاس 👍 👍 💙 💙 💙 💙 💙 👏👏👏"
"112";"emamia4877";"20:04:39 21-01-2021";"#ملی-پلاس @emamia0841"
"113";"emamia4877";"20:04:55 21-01-2021";"#ملی-پلاس @emamia48.77"
"114";"emamia4877";"20:05:15 21-01-2021";"#ملی-پلاس @emamia8407"
